firmware,protocol,pcap,total_requests,total_mem_ops,total_taint_mem_ops,total_reduction_pct,avg_reduction_pct,median_reduction_pct,min_reduction_pct,max_reduction_pct,stddev_reduction_pct,error
netgear/DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,http,user_interaction_4.pcap,26,28258108512,35077032,99.88,99.85,99.84,99.79,99.98,0.06,
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,http,user_interaction_0.pcap,114,153862651024,189709098,99.88,99.89,99.88,99.87,99.97,0.02,
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,http,user_interaction_1.pcap,133,201551604080,250272991,99.88,99.89,99.89,99.86,99.96,0.02,
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,http,user_interaction_2.pcap,107,139406050312,163609195,99.88,99.89,99.89,99.87,99.96,0.02,
netgear/JNR3210_Firmware_Version_1.1.0.14.zip,http,user_interaction_3.pcap,123,570167485708,280373047,99.95,99.92,99.91,99.57,99.97,0.05,
tplink/Archer_C2_US__v1_160128.zip,http,user_interaction_0.pcap,62,191559217300,30323245,99.98,99.97,99.98,99.30,99.99,0.09,
tplink/Archer_C2_US__v1_160128.zip,http,user_interaction_1.pcap,50,90062058784,35447192,99.96,99.96,99.97,99.91,99.99,0.02,
tplink/Archer_C2_US__v1_160128.zip,http,user_interaction_2.pcap,40,80235192064,13851739,99.98,99.98,99.99,99.90,99.99,0.02,
tplink/Archer_C2_US__v1_160128.zip,http,user_interaction_3.pcap,67,279293946124,38131627,99.99,99.98,99.99,99.88,100.00,0.02,
tplink/TL-WPA8630_US__V2_171011.zip,http,user_interaction_0.pcap,60,50414849880,64638136,99.87,99.88,99.87,99.83,99.96,0.02,
tplink/TL-WPA8630_US__V2_171011.zip,http,user_interaction_1.pcap,69,57161406316,88626991,99.84,99.86,99.85,99.82,99.96,0.03,
tplink/TL-WPA8630_US__V2_171011.zip,http,user_interaction_2.pcap,117,388017139144,272006446,99.93,99.91,99.93,99.75,99.96,0.04,
tplink/TL-WPA8630_US__V2_171011.zip,http,user_interaction_3.pcap,66,53076563124,81076491,99.85,99.85,99.84,99.81,99.96,0.03,
