,,,,GENERAL,,PRE-ANALYSIS,,,,EMULATION_TRACING,GENERAL_FUZZING,,,,,,,,,,AFLNET_FUZZING,,,STAFF_FUZZING,,,,EXTRA_FUZZING,
status,exp_name,container_name,num_cores,mode (M),firmware (F),pre_analysis_id (PAI),subregion_divisor (SD),min_subregion_len (MSL),delta_threshold (DT),include_libraries (IL),map_size_pow2 (MSP),fuzz_tmout (FT),timeout (T),afl_no_arith (ANA),afl_no_bitflip (ANB),afl_no_interest (ANI),afl_no_user_extras (ANU),afl_no_extras (ANE),afl_calibration (AC),afl_shuffle_queue (ASQ),region_delimiter (RD),proto (P),region_level_mutation (RLM),taint_hints_all_at_once (THA),sequence_minimization (SM),taint_metrics (TM),checkpoint_strategy (CS),coverage_tracing (CT),stage_max (SMA)
stopped,exp_20,crash_analysis_20,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_21,crash_analysis_21,1,crash_analysis,linksys/FW_WRT320N_1.0.05.002_20110331.bin,5,10,3,1.0,0,23,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_22,crash_analysis_22,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_23,crash_analysis_23,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
succeeded,exp_24,crash_analysis_24,1,crash_analysis,linksys/FW_WRT320N_1.0.05.002_20110331.bin,5,10,3,1.0,0,23,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_25,crash_analysis_25,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_26,crash_analysis_26,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_27,crash_analysis_27,1,crash_analysis,linksys/FW_WRT320N_1.0.05.002_20110331.bin,5,10,3,1.0,0,23,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_28,crash_analysis_28,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_29,crash_analysis_29,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_30,crash_analysis_30,1,crash_analysis,linksys/FW_WRT320N_1.0.05.002_20110331.bin,5,10,3,1.0,0,23,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_31,crash_analysis_31,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_32,crash_analysis_32,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_33,crash_analysis_33,1,crash_analysis,linksys/FW_WRT320N_1.0.05.002_20110331.bin,5,10,3,1.0,0,23,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_34,crash_analysis_34,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_35,crash_analysis_35,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_36,crash_analysis_36,1,crash_analysis,linksys/FW_WRT320N_1.0.05.002_20110331.bin,5,10,3,1.0,0,23,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_37,crash_analysis_37,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_38,crash_analysis_38,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
succeeded,exp_39,crash_analysis_39,1,crash_analysis,linksys/FW_WRT320N_1.0.05.002_20110331.bin,5,10,3,1.0,0,23,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
stopped,exp_40,crash_analysis_40,1,crash_analysis,linksys/FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,0,10,3,1.0,0,24,86400,150,1,0,1,1,1,0,0,\x1A\x1A\x1A\x1A,http,1,0,1,number_of_app_tb_pcs,1,block,3
