firmware,TRI_mean_cnt,TRI_exp_cnt,ASA_mean_cnt,ASA_exp_cnt,STAFF_mean_cnt,STAFF_exp_cnt
DGN3500,1.0,10,2.8,10,3.0,10
DGND3300,1.0,10,1.5,10,1.6,10
TV-IP121WN,0.0,10,1.0,10,1.3,10
TV-IP651WI,0.0,10,0.0,10,1.0,10
WRT320N,1.0,10,1.0,10,1.0,10
JNR3210,2.333,10,2.0,10,3.5,10
TL-WPA8630 (US),1.0,10,2.0,9,2.0,11
DAP-2310,0.0,10,1.0,10,2.7,10
DIR-300,0.0,10,1.0,10,3.8,10
