firmware,module,cve_id,category,min_reqs,TRI_cnt,TRI_avg_tte,ASA_cnt,ASA_avg_tte,STAFF_cnt,STAFF_avg_tte
DGN3500,mini_httpd,0,OIB,0,5,4h25m,5,0h58m,5,2h22m
DGN3500,rc,1,MII,0,0,,4,3h32m,5,5h34m
DGN3500,setup.cgi,2,MID,0,0,,5,1h33m,5,1h3m
DGND3300,mini_httpd,3,OIB,0,5,0h56m,2,11h4m,2,19h29m
DGND3300,setup.cgi,4,MID,0,0,,5,0h35m,5,0h57m
TV-IP121WN,network.cgi,CVE-2018-19240,OID,0,0,,0,,5,0h33m
TV-IP121WN,view.cgi,6,OID,0,0,,1,14h59m,0,
TV-IP651WI,alphapd,8,MID,0,0,,0,,3,1h13m
WRT320N,httpd,9,OIB,0,5,16h21m,5,4h22m,5,0h47m
JNR3210,mini_httpd,10,OIB,0,0,,0,,3,9h35m
JNR3210,mini_httpd,11,OIB,0,5,1h1m,5,0h30m,5,2h25m
JNR3210,setup.cgi,12,OID,0,5,0h34m,5,1h31m,5,7h37m
JNR3210,setup.cgi,13,OID,0,0,,0,,5,4h28m
TL-WPA8630 (US),httpd,CVE-2024-57357,OIB,0,0,,2,3h19m,5,13h49m
TL-WPA8630 (US),httpd,CVE-2023-27837,OIB,0,5,0h0m,2,4h38m,4,10h55m
TL-WPA8630 (US),ledschd,16,MII,0,0,,2,4h11m,1,6h2m
DAP-2310,atp,17,MID,0,0,,0,,5,3h4m
DAP-2310,atp,CVE-2016-1558,MID,0,0,,0,,2,8h56m
DAP-2310,udhcpd,20,MII,0,0,,2,6h58m,2,3h23m
DAP-2310,xmldb,21,MII,0,0,,0,,5,2h31m
DAP-2310,xmldb,22,MII,0,0,,0,,1,17h8m
DIR-300,atp,23,MID,0,0,,0,,5,1h43m
DIR-300,atp,24,MID,0,0,,1,11h34m,5,1h19m
DIR-300,udhcpd,25,MII,0,0,,0,,4,4h17m
DIR-300,xmldb,26,MII,0,0,,0,,5,1h20m
